Altair	견우성	牽牛星
seer	예언자	預言者
segregation	분리	分離
selection	선발	選拔
selection	발췌	拔萃
self	자기	自己
self	자아	自我
self denial	극기	克己
self interest	사리	私利
semen	정액	精液
seniority	연장	年長
sensation	감각	感覺
sense	관능	官能
sense	의식	意識
sensual	관능적인	官能的
sensuality	호색	好色
sensuous	감각적인	感覺的
sentence	문장	文章
sentence	판결	判決
sentence	선고	宣告
sentiment	감상적인	感傷
sentiment	정취	情趣
sentiment	감상	感傷
sentimentalism	감상주의	感傷主義
separation	분리	分離
separation	별거	別居
sequence	순서	順序
seraglio	후궁	後宮
serialization	연재	連載
serpentine	사문석	蛇紋石
serum	혈청	血淸
serve	봉사하다	奉仕
service	봉사	奉仕
service	공헌	貢獻
service	근무	勤務
setback	좌절	挫折
settlement	해결	解決
settler	개척자	開拓者
sewerage	하수	下水
sewing	재봉	裁縫
shadow	미행자	尾行
shale	혈암	頁岩
shame	치욕	恥辱
shareholder	주주	株主
sheet metal	판금	板金
shell	포탄	砲彈
shell heap	패총	貝塚
shelter	보호하다	保護
shelve	묵살하다	默殺
shift	교대	交代
shipbuilding	조선	造船
shipowner	선주	船主
shipping	출하	出荷
shock	진동	震動
shoe	단화	短靴
shoot	질주하다	疾走
shooter	사수	射手
shooting	발사	發射
shooting	사출	射出
shop assistant	점원	店員
shopgirl	여점원	女店員
short wave	단파	短波
shortage	결핍	缺乏
shortening	단축	短縮
shortening	단축	短縮
shot	탄환	彈丸
shot	산탄	霰彈
shoulder strap	견장	肩章
showdown	대결	對決
shred	단편	斷片
shrub	관목	灌木
shutdown	휴업	休業
sickbed	병상	病床
sickroom	병실	病室
side line	내직	內職
side show	여흥	餘興
sidewalk	인도	人道
siding	측선	側線
sigh	탄식	歎息
sign	간판	看板
sign	징후	徵候
sign	신호하다	信號
signal	신호	信號
signalize	신호하다	信號
signature	서명	署名
signboard	간판	看板
significance	의미	意味
signpost	도표	道標
silence	침묵	沈默
similarity	상사	相似
simple interest	단리	單利
simple sentence	단문	單文
simplicity	단순	單純
simplicity	간소	簡素
simplicity	소박	素朴
sincerity	성의	誠意
sinew	근육	筋肉
single	독신	獨身
single	단일	單一
sister	자매	姉妹
sit	착석하다	着席
site	용지	用地
site	부지	敷地
situation	위치	位置
situation	형세	形勢
situation	입장	立場
skeleton	해골	骸骨
skin	피부	皮膚
skip	도약	跳躍
skirmisher	산병	散兵
skull	두개골	頭蓋骨
skyscraper	마천루	摩天樓
slaked lime	소석회	消石灰
slander	중상하다	中傷
slate	점판암	粘板岩
slaughter	도살	屠殺
sleepwalker	몽유병자	夢遊病者
sleepwalking	몽유병	夢遊病
sluice gate	수문	水門
slump	부진	不振
smallpox	천연두	天然痘
smelting furnace	용광로	鎔鑛爐
smoking	끽연	喫煙
smother	묵살하다	默殺
smother	묵살하다	默殺
snapshot	속사	速寫
sneer	조소	嘲笑
snow field	설원	雪原
soapstone	동석	凍石
sobriety	절주	節酒
soccer	축구	蹴球
society	사회	社會
society	사회	社會
society	협회	協會
sodomy	남색	男色
sodomy	수간	獸姦
soft palate	연구개	軟口蓋
soft water	연수	軟水
softening	연화	軟化
soil	토양	土壤
soil	토지	土地
solace	위안	慰安
soldier	군인	軍人
soldier	전사	戰士
solemnity	엄숙	嚴肅
solemnity	장엄	莊嚴
solicitation	권유	勸誘
solidification	응결	凝結
solitude	고독	孤獨
solitude	독거	獨居
solution	해결	解決
solution	용해	溶解
solvent	용제	溶劑
solvent	용매	溶媒
somewhat	다소	多少
somnambulism	몽유병	夢遊病
song	창가	唱歌
song	가곡	歌曲
song	가창	歌唱
songbird	명금	鳴禽
sophism	궤변	詭辯
sophistry	궤변	詭辯
sorcery	마법	魔法
sorcery	마술	魔術
sorrow	불행	不幸
sorting	구분	區分
soul	영혼	靈魂
soul	정신	精神
sound	음향	音響
sound wave	음파	音波
sounding	측심	測深
sounding lead	측연	測鉛
source	근원	根源
source	원천	源泉
source	출처	出處
source	원인	原因
southeast	남동	南東
southwest	남서	南西
souvenir	기념품	記念品
sovereignty	주권	主權
space	공간	空間
space	우주	宇宙
space	간격	間隔
span	전장	全長
spasm	발작	發作
spasmodic	발작적인	發作的
speciality	전문	專門
specie	정화	正貨
specific gravity	비중	比重
specific heat	비열	比熱
specimen	표본	標本
spectacle	장관	壯觀
spectacle	안경	眼鏡
specter	유령	幽靈
spectrum	분광	分光
speculate	추측하다	推測
speculation	사색	思索
speculation	투기	投機
speed	속력	速力
speed	속도	速度
spell	주문	呪文
spelling	철자	綴字
sperm	정충	精蟲
sperm	정자	精子
sphere	구체	球體
sphincter	괄약근	括約筋
spinal column	척주	脊柱
spindle	방추	紡錘
spirit	정신	精神
spirit	영혼	靈魂
spirit	정신	精神
spiritualism	강신술	降神術
spiritualism	유심론	唯心論
spite	악의	惡意
spleen	비장	脾臟
splinter	파편	破片
sponge	해면	海綿
spontaneous	자발적인	自發的
sporadic	산발적인	散發
spouse	배우자	配偶者
spouse	부부	夫婦
sprayer	분무기	噴霧器
spread	보급	普及
spring	도약하다	跳躍
sprinkling	살포	撒布
sprite	요정	妖精
spur	박차	拍車
squad	분대	分隊
squall	돌풍	突風
squall	질풍	疾風
square	평방	平方
squealer	밀고자	密告者
squeeze	착취하다	搾取
stability	안정	安定
staff	부원	部員
staff officer	참모	參謀
stage	무대	舞臺
stagecoach	역마차	驛馬車
stagnation	침체	沈滯
stain	오점	汚点汚點
stake	화형	火刑
stalactite	종유석	鍾乳石
stalagmite	석순	石筍
stallion	종마	種馬
standard	표준	標準
standard	본위	本位
standardization	획일	劃一
standpoint	입장	立場
standstill	정지	停止
staple food	주식	主食
starboard	우현	右舷
starch	전분	澱粉
stare	응시하다	凝視
stare	응시하다	凝視
stare	응시	凝視
starting point	기점	起点起點
starvation	아사	餓死
state	국가	國家
statement	진술	陳述
statement	성명	聲明
statesman	정치가	政治家
static electricity	정전기	靜電氣
statics	정역학	靜力學
statistical	통계적인	統計的
statistics	통계	統計
steam whistle	기적	汽笛
steamship	기선	汽船
steel	강철	鋼鐵
stench	악취	惡臭
stenography	속기	速記
step	조치	措置
sterility	중성	中性
sterilization	살균	殺菌
sterilization	멸균	滅菌
sterilization	소독	消毒
sternum	흉골	胸骨
steward	집사	執事
stigma	오명	汚名
stillbirth	사산	死産
stilt	죽마	竹馬
stimulation	흥분	興奮
stimulus	자극	刺戟
stimulus	자극	刺戟
stimulus	자극	刺戟
stipulation	약정	約定
stock certificate	주권	株券
stoker	화부	火夫
stolidity	둔감	鈍感
stoma	기공	氣孔
stone	석재	石材
stone fruit	핵과	核果
stonemason	석공	石工
stop	종지	終止
stoppage	정지	停止
storage	저장	貯藏
storage	보관	保管
storage battery	축전지	蓄電池
store	백화점	百貨店
storehouse	창고	倉庫
storm	폭풍우	暴風雨
stove	난로	煖爐
straggling	산재하다	散在
straggling	산재하다	散在
strainer	여과기	濾過器
strangulation	교살	絞殺
stratagem	계략	計略
strategy	병법	兵法
strategy	전략	戰略
stratocumulus	층적운	層積雲
stratosphere	성층권	成層圈
stratum	지층	地層
streak	광맥	鑛脈
street	가로	街路
stress	압력	壓力
stricture	협착	狹窄
strife	투쟁	鬪爭
stronghold	요새	要塞
structuralism	구조주의	構造主義
student	학생	學生
studhorse	종마	種馬
study	서재	書齋
stupidity	우둔	愚鈍
stupor	혼수	昏睡
style	양식	樣式
style	체재	體裁
style	화주	花柱
stylus	철필	鐵筆
subject	주제	主題
sublimation	승화	昇華
sublimation	승화	昇華
submission	복종	服從
subordination	종속	從屬
subscriber	예약자	豫約者
subscription	예약	豫約
subscription	응모	應募
subsidence	함몰	陷沒
subsidiary	자회사	子會社
substance	물질	物質
substance	실체	實體
substance	실질	實質
substantiation	입증	立證
substation	지서	支署
substitute	대리인	代理人
substitute	대체하다	代替
substitution	대용	代用
substitution	대입	代入
substitution	대용	代用
substitution	대입	代入
subtenancy	전차	轉借
subtotal	소계	小計
subtraction	감법	減法
suburb	교외	郊外
subway	지하철	地下鐵
success	성공	成功
succession	상속	相續
succession	계승	繼承
sucrose	자당	蔗糖
suffering	수난	受難
suffocation	질식	窒息
suggestion	암시	暗示
suggestion	제안	提案
suicidal	자살적인	自殺的
suicide	자살	自殺
suitability	적당	適當
summary	적요	摘要
summary	요약	要約
summit	정상	頂上
summit	절정	絶頂
sun	태양	太陽
sunlight	일광	日光
sunset	일몰	日沒
sunstroke	일사병	日射病
superabundance	과다	過多
superficiality	천박	淺薄
superhuman	초인적인	超人的
superhuman	초인적인	超人的
superintendence	감독	監督
superiority	우세	優勢
superman	초인	超人
superstition	미신	迷信
supervision	감독	監督
supplement	보충	補充
supplement	보족	補足
supplement	보유	補遺
supply	공급	供給
supply	보급	補給
supply	공급하다	供給
support	지지	支持
support	부양하다	扶養
support	지원하다	支援
supporter	찬성자	贊成者
supporting	지지하는	支持
suppose	상상하다	想像
supposition	가정	假定
suppression	억제	抑制
suppression	진압	鎭壓
suppuration	화농	化膿
supremacy	지고	至高
supremacy	주권	主權
surfeit	포만	飽滿
surprise attack	기습	奇襲
surrealism	초현실주의	超現實主義
surrounding	주위	周圍
surveillance	감시	監視
survey	조사하다	調査
survive	잔존하다	殘存
survivor	생존자	生存者
suspect	의심하다	疑心
suspense	불안	不安
suspension bridge	적교	吊橋
suspicion	의심	疑心
sustain	지지하다	支持
sustain	부양하다	扶養
sutra	경전	經典
suture	봉합	縫合
swan	백조	白鳥
sweating	발한	發汗
sweetheart	연인	戀人
swimming	수영	水泳
swindle	사취	詐取
swindle	사기	詐欺
sword	무력	武力
sword dance	검무	劍舞
syllable	음절	音節
symbiosis	공생	共生
symbolic	상징적인	象徵的
sympathizer	동조자	同調者
sympathy	동정	同情
sympathy	동조	同調
symphony	교향곡	交響曲
symptom	징후	徵候
symptom	증후	症候
syndrome	증후군	症候群
synthesis	종합	綜合
synthesis	통합	統合
synthesis	합성	合成
syphilis	매독	梅毒
system	체계	體系
system	계통	系統
system	제도	制度
system	방식	方式
table	탁자	卓子
table tennis	탁구	卓球
table tennis	탁구	卓球
tableland	대지	臺地
tableland	고원	高原
tablet	정제	錠劑
tactician	책사	策士
tactics	전술	戰術
tactics	책략	策略
tail	미행하다	尾行
take	채용하다	採用
talus	거골	距骨
target	목표	目標
taste	풍미	風味
taste	미각	味覺
taste	취미	趣味
taste	기호	嗜好
taste	풍치	風致
teacher	선생	先生
tear	돌진하다	突進
technical terms	술어	術語
technique	기교	技巧
technologist	공학자	工學者
telegram	전보	電報
telegraph	타전하다	打電
telescope	망원경	望遠鏡
temperament	기질	氣質
temperance	절제	節制
temperance	절주	節酒
temperance	금주	禁酒
temple	신전	神殿
tempo	박자	拍子
tempt	유혹하다	誘惑
tendency	경향	傾向
tension	긴장	緊張
tension	긴장	緊張
tension	장력	張力
tentacle	촉수	觸手
term	기한	期限
term	기간	期間
term	용어	用語
term	명사	名辭
terminus	종점	終点終點
terrain	지형	地形
terrestrial magnetism	지자기	地磁氣
territory	영토	領土
territory	판도	版圖
terror	공포	恐怖
test tube	시험관	試驗管
testa	종피	種皮
testate	유언자	遺言者
testator	유언자	遺言者
testicle	고환	睾丸
testimony	증언	證言
textile	직물	織物
thank	감사하다	感謝
thaw	해동	解凍
theism	유신론	有神論
theme	논제	論題
theme	주제	主題
theology	신학	神學
theorem	정리	定理
theory	이론	理論
thermodynamics	열역학	熱力學
thesis	정립	定立
think	상상하다	想像
threadworm	요충	蟯蟲
threat	협박	脅迫
thrombus	혈전	血栓
throne	왕좌	王座
throne	옥좌	玉座
throne	왕위	王位
throng	군중	群衆
tibia	경골	脛骨
tidal current	조류	潮流
tide	조류	潮流
tide	풍조	風潮
timber	재목	材木
timbre	음색	音色
time	시간	時間
time	시각	時刻
time	시기	時期
time	시세	時世
time	박자	拍子
time signal	시보	時報
tip	선단	先端
title	표제	表題
title	자막	字幕
toast	축배	祝杯
toilet	변소	便所
tolerance	아량	雅量
tolerance	공차	公差
toleration	묵인	默認
tombstone	묘석	墓石
tone quality	음색	音色
tonsil	편도선	扁桃腺
tool	도구	道具
tool	공구	工具
toothache	치통	齒痛
top	정상	頂上
topic	화제	話題
topic	화제	話題
topography	지세	地勢
topography	지지	地誌
torpedo	어뢰	魚雷
torture	고문	拷問
touch	접촉	接觸
touch	필적하다	匹敵
toxin	독소	毒素
trace	형적	形跡形迹
trace	흔적	痕跡痕迹
tracer bullet	예광탄	曳光彈
trachea	기관	氣管
tracing	투사	透寫
track	선로	線路
trade	매매	賣買
trade	상업	商業
trade	매매하다	賣買
trade name	상호	商號
trader	상인	商人
tradition	구전	口傳
tradition	인습	因習
tradition	전통	傳統
tradition	구전	口傳
tradition	전승	傳承
traffic	교통	交通
tragedy	비극	悲劇
tragic	비극적인	悲劇的
traitor	반역자	反逆者
transcribe	전사하다	轉寫
transfiguration	변모	變貌
transformation	변형	變形
transition	변천	變遷
transitional	과도적인	過渡的
translation	번역	飜譯
translator	역자	譯者
translator	번역자	飜譯者
transmission	전송	傳送
transmission	전도	傳導
transmission	송신	送信
transmission	발신	發信
transmit	방송하다	放送
transmutation	변이	變移
transport	수송하다	輸送
transportation	수송	輸送
transposition	전위	轉位
transposition	이항	移項
transposition	전위	轉位
travel	여행하다	旅行
traveling	여행하는	旅行
treachery	반역	反逆
treasure	보물	寶物
treasure	재보	財寶
treasure	비장하다	秘藏
treatment	처리	處理
treatment	가공	加工
treatment	대우	待遇
treaty	조약	條約
trench	참호	塹壕
trial	시련	試練
trial	재판	裁判
trial	심리	審理
trial run	시운전	試運轉
tribe	부족	部族
tribe	종족	種族
triceps	삼두근	三頭筋
trick	계략	計略
trip	여행	旅行
tripod	삼각	三脚
triumvirate	삼두정치	三頭政治
troglodyte	유인원	類人猿
troop	군대	軍隊
trophy	상품	賞品
trophy	상품	賞品
trophy	상배	賞杯賞盃
trouble	분쟁	紛爭
truce	휴전	休戰
trunk line	간선	幹線
trust	신임	信任
trust	신탁	信託
trust	위탁하다	委託
truth	진리	眞理
truth	진실	眞實
truth	사실	事實
tuber	괴경	塊莖
tune	곡조	曲調
tung oil	동유	桐油
tunic	피막	被膜
tuning fork	음차	音叉
turbulence	난기류	亂氣流
turning	회전	回轉
turning	선회	旋回
tympanum	중이	中耳
type	전형	典型
typhoon	태풍	台風
tyranny	폭정	暴政
tyrant	참주	僭主
tyrant	폭군	暴君
ugliness	추악	醜惡
ulcer	궤양	潰瘍
ultrahigh frequency	극초단파	極超短波
unchastity	부정	不貞
undercurrent	암류	暗流
undergo	경험하다	經驗
undergo	경험하다	經驗
undersecretary	차관	次官
undersecretary	차관	次官
understanding	양해	諒解
undertake	보증하다	保證
undulation	기복	起伏
uneasiness	불안	不安
unemployment	실직	失職
unhappiness	불행	不幸
unification	통일	統一
uniformity	획일	劃一
uniformity	일률	一律
unilateral	일방적인	一方的
union	합동	合同
union	화합	和合
unison	제창	齊唱
universal	보편적인	普遍的
universe	우주	宇宙
university	대학	大學
unkindness	불친절	不親切
upbringing	양육	養育
uprising	반란	反亂
uprising	폭동	暴動
urea	요소	尿素
ureter	수뇨관	輸尿管
urethra	요도	尿道
urge	충동	衝動
urgency	화급	火急
urgency	절박	切迫
urgency	급박	急迫
urinalysis	검뇨	檢尿
urine	소변	小便
use	사용	使用
use	이용	利用
use	효용	效用
use	용도	用途
usually	보통	普通
usurpation	탈취	奪取
utensil	기구	器具
uterus	자궁	子宮
utility	효용	效用
utility	실용	實用
utilization	이용	利用
utilize	이용하다	利用
utterance	발언	發言
utterance	발성	發聲
vacancy	공석	空席
vaccination	종두	種痘
vacuum	진공	眞空
vagary	취광	醉狂
vagrancy	부랑	浮浪
valley	계곡	溪谷
valuation	평가	評價
value	가치	價値
value	가치	價値
vanguard	전위	前衛
vaporization	기화	氣化
variation	변화	變化
variation	변이	變異
variety	변화	變化
variety	종류	種類
variety	변종	變種
variety	변형	變形
variola	천연두	天然痘
vegetable	야채	野菜
vegetable diet	채식	菜食
vehicle	차량	車輛
vein	정맥	靜脈
velocity	속도	速度
vend	행상하다	行商
ventilation	통풍	通風
ventilation	환기	換氣
ventricle	심실	心室
venturer	모험자	冒險者
veracity	정확	正確
verb	동사	動詞
verbosity	다변	多辯
verdict	평결	評決
verification	검증	檢證
verification	증명	證明
versatility	다능	多能
versification	시형	詩形
very high frequency	초단파	超短波
vesicle	기포	氣胞
vessel	용기	容器
vestment	법의	法衣
veteran	노련자	老練
veterinarian	수의	獸醫
veto	거부하다	拒否
vibration	진동	振動
vice	악습	惡習
viceroy	태수	太守
vicious circle	악순환	惡循環
vicissitude	변천	變遷
vicissitude	성쇠	盛衰
victor	승리자	勝利者
victory	승리	勝利
view	의견	意見
view	전망	展望
vigilance	경계	警戒
vigilance committee	자경단	自警團
vigilante corps	자경단	自警團
vigor	원기	元氣
vigor	정력	精力
villain	악한	惡漢
villain	악인	惡人
violation	위배	違背
violation	침해	侵害
violence	폭력	暴力
virgin	처녀	處女
virtue	선량	善良
virtue	정조	貞操
virtue	미점	美點
virtue	효능	效能
virulence	독성	毒性
visa	사증	査證
viscera	내장	內臟
viscosity	점도	粘度
viscount	자작	子爵
vision	시각	視覺
vision	환영	幻影
vision	환상	幻像
visit	방문하다	訪問
visitant	방문자	訪問者
visitation	천벌	天罰
visitor	방문자	訪問者
vital	급소	急所
vitality	활력	活力
vitality	원기	元氣
vocabulary	어휘	語彙
vocation	천직	天職
voice	음성	音聲
volcano	화산	火山
volition	의지	意志
volume	체적	體積
volume	용적	容積
voluntary	자발적인	自發的
volunteer	자발적인	自發的
volunteer	유지	有志
voluptuous	관능적인	官能的
voter	투표자	投票者
vouch	보증하다	保證
voyage	항해하다	航海
vulgarity	속악	俗惡
wage	임금	賃金
waist	요부	腰部
waiting room	대합실	待合室
waitress	여급	女給
wall newspaper	벽신문	壁新聞
want	결핍	缺乏
war	전쟁	戰爭
war	전쟁하다	戰爭
war cloud	전운	戰雲
ward	병동	病棟
ward	감방	監房
warehouse	창고	倉庫
warning	경고	警告
warrant	보증하다	保證
warranty	보증	保證
warship	군함	軍艦
washing machine	세탁기	洗濯機
waste	낭비	浪費
waste heat	여열	餘熱
waster	파괴자	破壞者
watchtower	망루	望樓
water gate	수문	水門
water lily	수련	睡蓮
water polo	수구	水球
waterfall	폭포	瀑布
waterway	수로	水路
waterway	운하	運河
wavelength	파장	波長
way	방향	方向
way	방법	方法
way out	출구	出口
weakness	유약	柔弱
weakness	박약	薄弱
weakness	결점	缺點
weakness	약점	弱点弱點
wealth	풍부	豊富
weapon	무기	武器
weapon	병기	兵器
weariness	권태	倦怠
weathering	풍화	風化
weed	잡초	雜草
weight	중량	重量
weight	분동	分銅
welcome	환영하다	歡迎
west	서양	西洋
wet dream	몽정	夢精
whelm	압도하다	壓倒
whereabouts	소재	所在
whirlwind	선풍	旋風
whistle	경적	警笛
white	백색	白色
white heat	백열	白熱
white night	백야	白夜
white paper	백지	白紙
white wine	백포도주	白葡萄酒
whole	전부	全部
whole	전체	全體
whooping cough	백일해	百日咳
widow	미망인	未亡人
widow	과부	寡婦
wild	황야	荒野
wilderness	황야	荒野
win	승리	勝利
windmill	풍차	風車
windstorm	폭풍	暴風
winner	승리자	勝利者
winter sleep	동면	冬眠
wiretap	도청하다	盜聽
wisdom	지혜	智慧
wisdom	현명	賢明
wish	소원	所願
witch	마녀	魔女
witchcraft	마법	魔法
wizard	귀재	鬼才
wizard	천재적인	天才
woman	여자	女子
woman	부인	婦人
woman	여성	女性
womb	자궁	子宮
word	단어	單語
word order	어순	語順
work	세공하다	細工
workshop	공장	工場
world	세계	世界
world	세상	世上
worldling	속인	俗人
worship	숭배	崇拜
worship	예배	禮拜
worship	예배하다	禮拜
wound	부상	負傷
wreath	화환	花環
wreckage	잔해	殘骸
writer	필자	筆者
writing	저술	著述
writing	문서	文書
writing	저작	著作
xylophone	목금	木琴
year	연도	年度
year	연령	年齡
yeast	효모	酵母
yield	산출하다	産出
youth	청춘	靑春
youth	청년	靑年
youth	연소	年少
zeal	열심	熱心
zeal	열중	熱中
zenith	천정	天頂
zero	영점	零點
zone	지대	地帶
zone	구역	區域
zoolatry	동물숭배	動物崇拜
