다북쑥속의 식물	オウシュウヨモギ
소수 독재 정치	寡頭制
거머리	寄生生物
루테튬	ルテチウム
강어귀	河口,川口
음의 합성 장치	シンセサイザー,音源
감염병	感染病
냉동실	冷蔵庫
앵무조개	オウムガイ
소수의 독재자	寡頭制
겉꾸밈의	表面上
강약법	原動力,動力学
고공병	高山病
가정법	仮定法,接続法
접촉작용	触媒作用
가정부	女中,メイド
거만한	傲慢な,横柄な,高慢な
확인하다	1. 発見する,発見 2. 確かめる 3. 確かめる
냉동고	フリーザー
태백성	宵の明星
냉동기	フリーザー
강아지	子犬
큰개자리	おおいぬ座
진흙투성이의	浸水した
책갈피	ブックマーク,栞
검류계	検流計
자선을 베푸는	奇特な,奇特
자이로 플레인	ヘリコプター
돌연 변이체	突然変異体,突然変異
건망증	記憶喪失
병신을 만들다	ばらばらにする,ばらばら
가장한	表面上
컨테이너	いれもの,iremono,入物,入れ物,コンテナ,容器
혈관 조영법	血管造影
고구마	サツマイモ,芋
판첸 라마	パンチェン・ラマ
시멘틱	セマンティック
판 구조론	プレートテクトニクス
세상 이야기	話々,世間話
회상하다	覚える,思い出す
실로폰	マリンバ,シロフォン,木琴
로드아일랜드	1. ロードアイランド 2. ロードアイランド
프랑스 공화국	フランス
온라인의	オンライン
미국동부의 주	デラウェア州
고가교	ガード,高架橋
말라기	マラキ書
가외의	過剰な
법정휴일	国民の祝日,祭日,建国記念日,祝日,休日,祝祭日
찰나의	はかない,hakanai,儚い,儚い (はかない)
신명기	申命記
흡혈박쥐	吸血鬼,ヴァンパイア,ラミアー
나룻배	フェリー
비스바덴	ヴィースバーデン
터놓고	正直に
채권자	貸方,債権者
비스무트	ビスマス
가우초	ガウチョ
채굴지	掘削,開削
상공회의소	商工会議所
쌍동선	カタマラン
비밀을 누설하다	言う,あばく,abaku,暴く
다오메이	ベナン共和国,ベナン,ベニン
맥동성	パルサー
시리아	シリア
고리 갑옷	鎖帷子
부득이한	必至の,恒常的,避けがたい,常習,避けることのできない,必至,不可避
최종적 해결	ユダヤ人大虐殺,ホロコースト
일견하여	一目で,一目見ただけで,一見,一目,一見し
건선거	乾ドック
계승하다	継承する,受継ぐ
초현실주의의	超現実的
석판인쇄술	石版刷り,リトグラフ
유지하다	節約する
조직을 세우다	体系
격리자	誘電体
맑은 수프	コンソメ
전군 최고사령관	総統
고대의	古代
옛날의 소아시아	しょうアジア,小アジア
자백하다	公言する
실바람	強風
상호관계	相関
여객 수송용 소형	リムジン
맛 좋은	旨い,あまい,oishii,おいしそう,おいしい,風味のよい
해면동물	海綿動物
광고업	CM,広告
일정하지 않은	不定な
안티모니	アンチモン,アンチモニー
윤기 있는	subesube,すべすべ
곤줄박이	アオガラ
수하물	荷物,手荷物,スーツケース,かばん,鞄
너무나	無理に,あまりに
표백업자	漂白剤
열이나다	1. 熱 2. 熱
전사술전사화	デカルコマニー
상병자 운반차	救急車
동 시대 사람	じんるい,人類,jinrui,人間
머그워트	1. ヨモギ 2. オウシュウヨモギ
갠지스	ガンジス,ガンジス川
마사지	マッサージ
참석하다	出席する
횡경막염	脳炎
마상이	カヌー
불법행의	違法,違法性
악마 신앙가	サタニズム
기생 동물	寄生生物
나이트	騎士
신문발행인 협회	通信社
중부 아프리카	中部アフリカ,中央アフリカ共和国
광견병	狂犬病
스릴을 주는 것	スリラー
공동 생활	共生
리야드	リヤド
리모트 콘트롤	遠隔操作,リモートコントロール
신문의	段落
망설이게	いじいじ
나일강	ナイル川
맥주같은	biiru,ビール,麦酒,bīru,ビール1杯
산소결핍	窒息
106번 원소	シーボーギウム
반대하여	嫌って
지명사전	地名辞典
고문 전문의	顧問
신문업	報道,ジャーナリズム
수평면	水位
도버해협	ドーバー
혹평하다	批評する
망설이다	躊躇する,ためらう
의지상실	意志欠乏
부자주의	父方の,父性
탈당자	背信者
스스로	自ら,直々に
나우루	1. ナウル 2. ナウル
망자를 위한 미사	死者のためのミサ,鎮魂歌
代名詞	代名詞
육상 하키	ホッケー
앞서 말한	前述の
겨루다	競争する,争う,張り合う
메노라	メノーラー
마술사	魔人,まじん,majin,ウィザード,魔法使い,魔術師
심리학	形而上学
수평의	横の,横,水平な,水平
탄도학	弾道学
시보귬	シーボーギウム
가치있는것	資産
오스트랄라시아	オーストララシア
정신적인 지도자	グル,教祖
수평선	横の,横,水平な,水平
식물학	植物学
군사정부	軍事政権
만성의	慢性的な
립스틱	口紅,リップスティック
서양 쌍륙	バックギャモン
악착같은 야심가	出来星,成り上がり者,成り金
큰소리를 지르다	叫ぶ
배글 빵	ベーゲル
원자 병기	核兵器
신빙성	信用性,真実性
타갈로그어	タガログ語
터치 스크린	タッチパネル
농업을 맡은반인	ファウヌス
공기총	空気銃
쓸데없이	1. 不用に 2. 不用に
타밀나두 주	タミル・ナードゥ州,タミル・ナードゥ
영양물의	栄養素
야심의 대상	野心,抱負,アンビション
점액질의	粘液質の
큰 곰자리	おおぐま座
블라디보스토크	ウラジオストク
반어적인	皮肉な,風刺的な
수호자	保護者,係員
마시다	飲む
매우 가까운사람	いとこ,従兄弟,従姉妹
마술의	マジック
리액터	原子炉,反応器
심벌즈	シンバル
주1회	毎週
츠와나어	ツワナ語
길이 저문	遅い
소리를 내지 않고	1. sotto 2. sotto
타동사	他動詞
세쿼이어	セコイア
넘치도록	多量に
신비한	不思議,神秘的
낙엽송	カラマツ
야릇하다	ぶきみな
맞서다	競争する,争う,張り合う
사슬 갑옷	鎖帷子
화용론]]	語用論
퍼뜨리다	種をまく
심부름	用事,shimei,使命,しめい
성전승인	列福
木曜日	mokuyōbi,木曜日
교환하다	1. 取り換える 2. 替える
원자핵 파괴 장치	粒子加速器,加速器
맥주거품	カリフラワー
관광단	観光
성가ㅈ신 사람	雀蜂,スズメバチ,モンスズメバチ
거북이	亀,カメ,かめ,陸亀
이데올로기	1. イデオロギー 2. イデオロギー
조직하다	1. 組織する 2. 組織する 3. 組織する 4. 組織する 5. 組織する
개미핥기	センザンコウ
관광객	旅行者,ツーリスト,観光客
뒤에 남는 영향	後遺症,余波
수행자	検察,検察官
멸균자	オートクレーブ
개자식	くそったれ
교활하다	巧妙な,狡い,ずるい,狡猾,悪賢い
그 위에 더	その上,しかも,その上に,尚且つ,さらに,katsu
큰바람	強風
대상 포진	帯状疱疹
공고판	掲示板
푸른 나무	緑,みどり,midori
마르티니크	マルティニーク,マルティニーク島
매사냥	鷹狩り
죽 음	1. 死 2. 死 3. 死ぬ,死 4. 殺人 5. 死 6. 死 7. 永逝,死 8. 死
쓸데없는	むなしい
순환계	循環器
수화물	水和物
큐레이터	学芸員
과격론	ボリシェヴィキ
새 풍토 순화	順応,適応
큰박쥐	オオコウモリ
건방진	傲慢な,横柄な,高慢な
공격의	攻撃者
공격자	1. 攻撃者 2. 攻撃者
타닌산	タンニン
아스클레피오스	アスクレーピオス
토착의 동식물	原住民,アボリジニ
사유재산 몰수	おうしゅう,押収,ōshū
낚시질	魚釣り,釣り
숨막히게 더운	1. mushiatsui,蒸し暑い,むしあつい 2. 官能的
찻숱가락	ティースプーン,小さじ
경묘한	明るい,あかるい,明い,akarui
종자식물	顕花植物
엑스칼리버	エクスカリバー
소형 연식 비행선	飛行船
감탄사	しゃせい,感動詞,感嘆詞,間投詞
노련한 선원	水兵,船員,ジャック,水夫
결백하게	綺麗に
신세계	新世界
마법사	1. 魔人,まじん,majin,ウィザード,魔法使い,魔術師 2. 魔法使い
큰스푼	スプーン,さじ
신생대	新生代
수세 도급인	農家
민주주의	1. 民主主義 2. 共和制,民主主義
마법의	マジック
조류학자	鳥類学
입자 가속기	粒子加速器,加速器
시성식	列福
준엄한 추궁	反対尋問
검시관	検死官
점액종중	兎粘液腫
약점이 있음	zeijakusei,ぜいじゃくせい,脆弱性
종합적 체계	宇宙
사우디아라비아	サウジアラビア
딴 데로 돌리다	気をそらす
꼬마요정	エルフ
파라과이 사람	パラグアイ
위압하다	強要する
유료도로	高速道路
천궁도	ホロスコープ
변복조 장치	モデム,変復調装置
디플레이션	1. デフレーション 2. デフレーション
화석 연료	化石燃料,石油
천공충	木食い虫
과대평가	過大評価
플란넬 케이크	パンケーキ
계리사	会計士
코발트색	コバルト
종이접기	折り紙,折紙
매머드	マンモス
난세포	卵子
망명자	難民
환원효소	還元酵素
스웨덴	スウェーデン,瑞典
메가폰	メガホン
필사적으로	緊急に
프라이팬	フライパン
평가 하다	批評する
낚싯대	釣り竿
탄력성	だんせい,弾性,柔軟性,弾力性
가톨릭	カトリシズム
경문가	モテット
신할라어	1. シンハラ語 2. シンハラ語
신할라이	シンハラ語
사임하다	1. 辞職する,辞任する,辞める 2. 辞職する,辞任する,辞める,退位する 3. 辞職する,辞任する,辞める
철광석	鉄鉱,鉄鉱石
바로 그대로	きっかり
맨말에	禿げ
남색자	男色者,だんしょくしゃ
스위스	スイス連邦,スイス,瑞西
낙수홈	ガーゴイル
인스턴트 커피	インスタントコーヒー
실용적이 아닌	非実際的
내뿜다	嘔吐する,嘔吐,吐く
유럽 공동 시장	EU,ヨーロッパ連合,欧州連合
샌프란시스코	サンフランシスコ
탈레반	ターリバーン
전기화학	電気化学
애들레이드	アデレード
키보드	キーボード
거짓말하는 버릇	1. 虚偽の 2. 虚偽の
타르머캐덤 도로	アスファルト舗装路,ターマック
낚싯배	漁船
신경세포	ニューロン,神経細胞
관념학	イデオロギー
식사량	食事
회토산화물	ランタノイド,希土類
고등어	サバ
평화로운	静かな,晴れた
신속히	さっさと
씨의 솜털	昏睡
리소좀	リソソーム
맞바람	逆風
과녁판	魔法のつえ
신시대	時代,じだい
낙성식	就職
검사자	インスペクター
큰소란	喧々囂々,騒ぎ,騒音,騒動,猥雑
낭만주의 운동	ロマン主義
골동품	骨董品
카리스마적 매력	教祖的指導力
아리스토텔레스	アリストテレス
찻숟가락	ティースプーン,小さじ
소아과 의사	小児科医
웨스트벵골 주	西ベンガル,西ベンガル州
과학기술자	工兵,機関士,技術者,こうへい,エンジニア,技師
알쏭달쏭한	絶対の
3차어	3次的な,3番目の
시에나색	シエナ土,シエナ色
편재하는	普遍的
난센스	美辞麗句,珍紛漢,ちんぷんかんぷん
하찮은 일	蛇足,バガテル
세계 보건 기구	世界保健機関
명성있는	有名な,nadakai,なだかい,名高い,高名な,有名
고드름	つらら,氷柱
12면체	正十二面体
떨리는 목소리	さえずる
심술난	怒りっぽい,不機嫌な
건습계	乾湿計
알바니아	アルバニア
개체성	個人主義
리스본	リスボン
...에 알맞아	作為的な,意識的な
차리다	服を着せる
시에나토	シエナ土,シエナ色
여자의장	議長,委員長,主席
결막염	結膜炎
비단 같은	subesube,すべすべ
후지 산	藤山,富士山
의 탄소순환	炭素循環
장단단격	ダクティル
광기의	気が狂った
미생물학	微生物学
다양하게	色々
키메라	キメラ,kimera
